species_id,pokemon_id,name_ko,name_en,generation,is_legendary,is_mythical,types_en,types_ko,height_m,weight_kg,hp,attack,defense,special_attack,special_defense,speed,total,image_file,image_url
13,13,뿔충이,weedle,generation-i,0,0,bug|poison,벌레|독,0.3,3.2,40,35,30,20,20,50,195,data\images\0013_weedle.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png
14,14,딱충이,kakuna,generation-i,0,0,bug|poison,벌레|독,0.6,10.0,45,25,50,25,25,35,205,data\images\0014_kakuna.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png
15,15,독침붕,beedrill,generation-i,0,0,bug|poison,벌레|독,1.0,29.5,65,90,40,45,80,75,395,data\images\0015_beedrill.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png
16,16,구구,pidgey,generation-i,0,0,normal|flying,노말|비행,0.3,1.8,40,45,40,35,35,56,251,data\images\0016_pidgey.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png
17,17,피죤,pidgeotto,generation-i,0,0,normal|flying,노말|비행,1.1,30.0,63,60,55,50,50,71,349,data\images\0017_pidgeotto.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png
18,18,피죤투,pidgeot,generation-i,0,0,normal|flying,노말|비행,1.5,39.5,83,80,75,70,70,101,479,data\images\0018_pidgeot.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png
19,19,꼬렛,rattata,generation-i,0,0,normal,노말,0.3,3.5,30,56,35,25,35,72,253,data\images\0019_rattata.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png
20,20,레트라,raticate,generation-i,0,0,normal,노말,0.7,18.5,55,81,60,50,70,97,413,data\images\0020_raticate.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png
21,21,깨비참,spearow,generation-i,0,0,normal|flying,노말|비행,0.3,2.0,40,60,30,31,31,70,262,data\images\0021_spearow.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png
22,22,깨비드릴조,fearow,generation-i,0,0,normal|flying,노말|비행,1.2,38.0,65,90,65,61,61,100,442,data\images\0022_fearow.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png
23,23,아보,ekans,generation-i,0,0,poison,독,2.0,6.9,35,60,44,40,54,55,288,data\images\0023_ekans.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png
24,24,아보크,arbok,generation-i,0,0,poison,독,3.5,65.0,60,95,69,65,79,80,448,data\images\0024_arbok.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png
25,25,피카츄,pikachu,generation-i,0,0,electric,전기,0.4,6.0,35,55,40,50,50,90,320,data\images\0025_pikachu.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png
26,26,라이츄,raichu,generation-i,0,0,electric,전기,0.8,30.0,60,90,55,90,80,110,485,data\images\0026_raichu.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png
27,27,모래두지,sandshrew,generation-i,0,0,ground,땅,0.6,12.0,50,75,85,20,30,40,300,data\images\0027_sandshrew.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png
28,28,고지,sandslash,generation-i,0,0,ground,땅,1.0,29.5,75,100,110,45,55,65,450,data\images\0028_sandslash.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png
29,29,니드런♀,nidoran-f,generation-i,0,0,poison,독,0.4,7.0,55,47,52,40,40,41,275,data\images\0029_nidoran_f.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png
30,30,니드리나,nidorina,generation-i,0,0,poison,독,0.8,20.0,70,62,67,55,55,56,365,data\images\0030_nidorina.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png
31,31,니드퀸,nidoqueen,generation-i,0,0,poison|ground,독|땅,1.3,60.0,90,92,87,75,85,76,505,data\images\0031_nidoqueen.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png
32,32,니드런♂,nidoran-m,generation-i,0,0,poison,독,0.5,9.0,46,57,40,40,40,50,273,data\images\0032_nidoran_m.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png
33,33,니드리노,nidorino,generation-i,0,0,poison,독,0.9,19.5,61,72,57,55,55,65,365,data\images\0033_nidorino.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png
34,34,니드킹,nidoking,generation-i,0,0,poison|ground,독|땅,1.4,62.0,81,102,77,85,75,85,505,data\images\0034_nidoking.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png
35,35,삐삐,clefairy,generation-i,0,0,fairy,페어리,0.6,7.5,70,45,48,60,65,35,323,data\images\0035_clefairy.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png
36,36,픽시,clefable,generation-i,0,0,fairy,페어리,1.3,40.0,95,70,73,95,90,60,483,data\images\0036_clefable.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png
37,37,식스테일,vulpix,generation-i,0,0,fire,불꽃,0.6,9.9,38,41,40,50,65,65,299,data\images\0037_vulpix.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png
38,38,나인테일,ninetales,generation-i,0,0,fire,불꽃,1.1,19.9,73,76,75,81,100,100,505,data\images\0038_ninetales.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png
39,39,푸린,jigglypuff,generation-i,0,0,normal|fairy,노말|페어리,0.5,5.5,115,45,20,45,25,20,270,data\images\0039_jigglypuff.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png
40,40,푸크린,wigglytuff,generation-i,0,0,normal|fairy,노말|페어리,1.0,12.0,140,70,45,85,50,45,435,data\images\0040_wigglytuff.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png
41,41,주뱃,zubat,generation-i,0,0,poison|flying,독|비행,0.8,7.5,40,45,35,30,40,55,245,data\images\0041_zubat.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png
42,42,골뱃,golbat,generation-i,0,0,poison|flying,독|비행,1.6,55.0,75,80,70,65,75,90,455,data\images\0042_golbat.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png
43,43,뚜벅쵸,oddish,generation-i,0,0,grass|poison,풀|독,0.5,5.4,45,50,55,75,65,30,320,data\images\0043_oddish.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png
44,44,냄새꼬,gloom,generation-i,0,0,grass|poison,풀|독,0.8,8.6,60,65,70,85,75,40,395,data\images\0044_gloom.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png
45,45,라플레시아,vileplume,generation-i,0,0,grass|poison,풀|독,1.2,18.6,75,80,85,110,90,50,490,data\images\0045_vileplume.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png
46,46,파라스,paras,generation-i,0,0,bug|grass,벌레|풀,0.3,5.4,35,70,55,45,55,25,285,data\images\0046_paras.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png
47,47,파라섹트,parasect,generation-i,0,0,bug|grass,벌레|풀,1.0,29.5,60,95,80,60,80,30,405,data\images\0047_parasect.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png
48,48,콘팡,venonat,generation-i,0,0,bug|poison,벌레|독,1.0,30.0,60,55,50,40,55,45,305,data\images\0048_venonat.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png
49,49,도나리,venomoth,generation-i,0,0,bug|poison,벌레|독,1.5,12.5,70,65,60,90,75,90,450,data\images\0049_venomoth.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png
50,50,디그다,diglett,generation-i,0,0,ground,땅,0.2,0.8,10,55,25,35,45,95,265,data\images\0050_diglett.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png
51,51,닥트리오,dugtrio,generation-i,0,0,ground,땅,0.7,33.3,35,100,50,50,70,120,425,data\images\0051_dugtrio.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png
52,52,나옹,meowth,generation-i,0,0,normal,노말,0.4,4.2,40,45,35,40,40,90,290,data\images\0052_meowth.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png
53,53,페르시온,persian,generation-i,0,0,normal,노말,1.0,32.0,65,70,60,65,65,115,440,data\images\0053_persian.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png
54,54,고라파덕,psyduck,generation-i,0,0,water,물,0.8,19.6,50,52,48,65,50,55,320,data\images\0054_psyduck.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png
55,55,골덕,golduck,generation-i,0,0,water,물,1.7,76.6,80,82,78,95,80,85,500,data\images\0055_golduck.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png
56,56,망키,mankey,generation-i,0,0,fighting,격투,0.5,28.0,40,80,35,35,45,70,305,data\images\0056_mankey.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png
57,57,성원숭,primeape,generation-i,0,0,fighting,격투,1.0,32.0,65,105,60,60,70,95,455,data\images\0057_primeape.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png
58,58,가디,growlithe,generation-i,0,0,fire,불꽃,0.7,19.0,55,70,45,70,50,60,350,data\images\0058_growlithe.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png
59,59,윈디,arcanine,generation-i,0,0,fire,불꽃,1.9,155.0,90,110,80,100,80,95,555,data\images\0059_arcanine.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png
60,60,발챙이,poliwag,generation-i,0,0,water,물,0.6,12.4,40,50,40,40,40,90,300,data\images\0060_poliwag.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png
61,61,슈륙챙이,poliwhirl,generation-i,0,0,water,물,1.0,20.0,65,65,65,50,50,90,385,data\images\0061_poliwhirl.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png
62,62,강챙이,poliwrath,generation-i,0,0,water|fighting,물|격투,1.3,54.0,90,95,95,70,90,70,510,data\images\0062_poliwrath.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png
63,63,캐이시,abra,generation-i,0,0,psychic,에스퍼,0.9,19.5,25,20,15,105,55,90,310,data\images\0063_abra.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png
64,64,윤겔라,kadabra,generation-i,0,0,psychic,에스퍼,1.3,56.5,40,35,30,120,70,105,400,data\images\0064_kadabra.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png
65,65,후딘,alakazam,generation-i,0,0,psychic,에스퍼,1.5,48.0,55,50,45,135,95,120,500,data\images\0065_alakazam.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png
66,66,알통몬,machop,generation-i,0,0,fighting,격투,0.8,19.5,70,80,50,35,35,35,305,data\images\0066_machop.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png
67,67,근육몬,machoke,generation-i,0,0,fighting,격투,1.5,70.5,80,100,70,50,60,45,405,data\images\0067_machoke.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png
68,68,괴력몬,machamp,generation-i,0,0,fighting,격투,1.6,130.0,90,130,80,65,85,55,505,data\images\0068_machamp.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png
69,69,모다피,bellsprout,generation-i,0,0,grass|poison,풀|독,0.7,4.0,50,75,35,70,30,40,300,data\images\0069_bellsprout.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/69.png
70,70,우츠동,weepinbell,generation-i,0,0,grass|poison,풀|독,1.0,6.4,65,90,50,85,45,55,390,data\images\0070_weepinbell.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/70.png
71,71,우츠보트,victreebel,generation-i,0,0,grass|poison,풀|독,1.7,15.5,80,105,65,100,70,70,490,data\images\0071_victreebel.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/71.png
72,72,왕눈해,tentacool,generation-i,0,0,water|poison,물|독,0.9,45.5,40,40,35,50,100,70,335,data\images\0072_tentacool.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/72.png
73,73,독파리,tentacruel,generation-i,0,0,water|poison,물|독,1.6,55.0,80,70,65,80,120,100,515,data\images\0073_tentacruel.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/73.png
74,74,꼬마돌,geodude,generation-i,0,0,rock|ground,바위|땅,0.4,20.0,40,80,100,30,30,20,300,data\images\0074_geodude.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/74.png
75,75,데구리,graveler,generation-i,0,0,rock|ground,바위|땅,1.0,105.0,55,95,115,45,45,35,390,data\images\0075_graveler.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/75.png
76,76,딱구리,golem,generation-i,0,0,rock|ground,바위|땅,1.4,300.0,80,120,130,55,65,45,495,data\images\0076_golem.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/76.png
77,77,포니타,ponyta,generation-i,0,0,fire,불꽃,1.0,30.0,50,85,55,65,65,90,410,data\images\0077_ponyta.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/77.png
78,78,날쌩마,rapidash,generation-i,0,0,fire,불꽃,1.7,95.0,65,100,70,80,80,105,500,data\images\0078_rapidash.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/78.png
79,79,야돈,slowpoke,generation-i,0,0,water|psychic,물|에스퍼,1.2,36.0,90,65,65,40,40,15,315,data\images\0079_slowpoke.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/79.png
80,80,야도란,slowbro,generation-i,0,0,water|psychic,물|에스퍼,1.6,78.5,95,75,110,100,80,30,490,data\images\0080_slowbro.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/80.png
81,81,코일,magnemite,generation-i,0,0,electric|steel,전기|강철,0.3,6.0,25,35,70,95,55,45,325,data\images\0081_magnemite.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/81.png
82,82,레어코일,magneton,generation-i,0,0,electric|steel,전기|강철,1.0,60.0,50,60,95,120,70,70,465,data\images\0082_magneton.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/82.png
83,83,파오리,farfetchd,generation-i,0,0,normal|flying,노말|비행,0.8,15.0,52,90,55,58,62,60,377,data\images\0083_farfetchd.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/83.png
84,84,두두,doduo,generation-i,0,0,normal|flying,노말|비행,1.4,39.2,35,85,45,35,35,75,310,data\images\0084_doduo.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/84.png
85,85,두트리오,dodrio,generation-i,0,0,normal|flying,노말|비행,1.8,85.2,60,110,70,60,60,110,470,data\images\0085_dodrio.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/85.png
86,86,쥬쥬,seel,generation-i,0,0,water,물,1.1,90.0,65,45,55,45,70,45,325,data\images\0086_seel.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/86.png
87,87,쥬레곤,dewgong,generation-i,0,0,water|ice,물|얼음,1.7,120.0,90,70,80,70,95,70,475,data\images\0087_dewgong.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/87.png
88,88,질퍽이,grimer,generation-i,0,0,poison,독,0.9,30.0,80,80,50,40,50,25,325,data\images\0088_grimer.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/88.png
89,89,질뻐기,muk,generation-i,0,0,poison,독,1.2,30.0,105,105,75,65,100,50,500,data\images\0089_muk.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/89.png
90,90,셀러,shellder,generation-i,0,0,water,물,0.3,4.0,30,65,100,45,25,40,305,data\images\0090_shellder.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/90.png
91,91,파르셀,cloyster,generation-i,0,0,water|ice,물|얼음,1.5,132.5,50,95,180,85,45,70,525,data\images\0091_cloyster.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/91.png
92,92,고오스,gastly,generation-i,0,0,ghost|poison,고스트|독,1.3,0.1,30,35,30,100,35,80,310,data\images\0092_gastly.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/92.png
93,93,고우스트,haunter,generation-i,0,0,ghost|poison,고스트|독,1.6,0.1,45,50,45,115,55,95,405,data\images\0093_haunter.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/93.png
94,94,팬텀,gengar,generation-i,0,0,ghost|poison,고스트|독,1.5,40.5,60,65,60,130,75,110,500,data\images\0094_gengar.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/94.png
95,95,롱스톤,onix,generation-i,0,0,rock|ground,바위|땅,8.8,210.0,35,45,160,30,45,70,385,data\images\0095_onix.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/95.png
96,96,슬리프,drowzee,generation-i,0,0,psychic,에스퍼,1.0,32.4,60,48,45,43,90,42,328,data\images\0096_drowzee.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/96.png
97,97,슬리퍼,hypno,generation-i,0,0,psychic,에스퍼,1.6,75.6,85,73,70,73,115,67,483,data\images\0097_hypno.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/97.png
98,98,크랩,krabby,generation-i,0,0,water,물,0.4,6.5,30,105,90,25,25,50,325,data\images\0098_krabby.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/98.png
99,99,킹크랩,kingler,generation-i,0,0,water,물,1.3,60.0,55,130,115,50,50,75,475,data\images\0099_kingler.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/99.png
100,100,찌리리공,voltorb,generation-i,0,0,electric,전기,0.5,10.4,40,30,50,55,55,100,330,data\images\0100_voltorb.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/100.png
101,101,붐볼,electrode,generation-i,0,0,electric,전기,1.2,66.6,60,50,70,80,80,150,490,data\images\0101_electrode.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/101.png
102,102,아라리,exeggcute,generation-i,0,0,grass|psychic,풀|에스퍼,0.4,2.5,60,40,80,60,45,40,325,data\images\0102_exeggcute.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/102.png
103,103,나시,exeggutor,generation-i,0,0,grass|psychic,풀|에스퍼,2.0,120.0,95,95,85,125,75,55,530,data\images\0103_exeggutor.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/103.png
104,104,탕구리,cubone,generation-i,0,0,ground,땅,0.4,6.5,50,50,95,40,50,35,320,data\images\0104_cubone.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/104.png
105,105,텅구리,marowak,generation-i,0,0,ground,땅,1.0,45.0,60,80,110,50,80,45,425,data\images\0105_marowak.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/105.png
106,106,시라소몬,hitmonlee,generation-i,0,0,fighting,격투,1.5,49.8,50,120,53,35,110,87,455,data\images\0106_hitmonlee.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/106.png
107,107,홍수몬,hitmonchan,generation-i,0,0,fighting,격투,1.4,50.2,50,105,79,35,110,76,455,data\images\0107_hitmonchan.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/107.png
108,108,내루미,lickitung,generation-i,0,0,normal,노말,1.2,65.5,90,55,75,60,75,30,385,data\images\0108_lickitung.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/108.png
109,109,또가스,koffing,generation-i,0,0,poison,독,0.6,1.0,40,65,95,60,45,35,340,data\images\0109_koffing.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/109.png
110,110,또도가스,weezing,generation-i,0,0,poison,독,1.2,9.5,65,90,120,85,70,60,490,data\images\0110_weezing.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/110.png
111,111,뿔카노,rhyhorn,generation-i,0,0,ground|rock,땅|바위,1.0,115.0,80,85,95,30,30,25,345,data\images\0111_rhyhorn.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/111.png
112,112,코뿌리,rhydon,generation-i,0,0,ground|rock,땅|바위,1.9,120.0,105,130,120,45,45,40,485,data\images\0112_rhydon.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/112.png
113,113,럭키,chansey,generation-i,0,0,normal,노말,1.1,34.6,250,5,5,35,105,50,450,data\images\0113_chansey.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/113.png
114,114,덩쿠리,tangela,generation-i,0,0,grass,풀,1.0,35.0,65,55,115,100,40,60,435,data\images\0114_tangela.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/114.png
115,115,캥카,kangaskhan,generation-i,0,0,normal,노말,2.2,80.0,105,95,80,40,80,90,490,data\images\0115_kangaskhan.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/115.png
116,116,쏘드라,horsea,generation-i,0,0,water,물,0.4,8.0,30,40,70,70,25,60,295,data\images\0116_horsea.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/116.png
117,117,시드라,seadra,generation-i,0,0,water,물,1.2,25.0,55,65,95,95,45,85,440,data\images\0117_seadra.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/117.png
118,118,콘치,goldeen,generation-i,0,0,water,물,0.6,15.0,45,67,60,35,50,63,320,data\images\0118_goldeen.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/118.png
119,119,왕콘치,seaking,generation-i,0,0,water,물,1.3,39.0,80,92,65,65,80,68,450,data\images\0119_seaking.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/119.png
